SI No,Message,Date
1,Welcome to our newest team member!,27/4/2024
2,Emergency meeting in 15 minutes to address server issues,28/4/2024
3,Congratulations to everyone for their hard work on the latest project launch!,1/5/2024
4,Please remember to update your timesheets for the week,1/5/2024
5,Friendly reminder to back up your important files before leaving for the weekend,2/5/2024
6,Quick poll: Which day works best for our team offsite next month?,4/5/2024
7,"Just a heads up, our client meeting has been moved to 3 PM tomorrow",6/5/2024
8,Reminder: Quarterly performance reviews are due by Friday,8/5/2024
9,Great news! You've won the deal with Walton,7/6/2024
10,Reminder: It's time to follow up with this project.,8/6/2024
